run_id,command_line,spec_mode,spec_id,selection_mode,bin_label,maze_id,maze_seed,candidate_index,maze_dim,latent_dim,latent_gap,side,barriers,gaps_per_barrier,effective_train_evals,n_runs_eval,shortest_path,detour_ratio,open_fraction,paired_norm_adv_pct_mean,paired_raw_adv_mean,maze_quantum_win,quantum_mean_dist,classical_mean_dist,planner_mean_dist,paired_quantum_win_rate,paired_n_trials
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=101,101,0,2,5,3,11,5,1,123,20,20,1.0,0.7024793388429752,8.5,1.7,1,6.0,7.7,0.0,0.65,20
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=102,102,1,2,5,3,11,5,1,123,20,20,1.0,0.7024793388429752,71.0,14.2,1,1.0,15.2,0.0,0.95,20
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=103,103,2,2,5,3,11,5,1,123,20,22,1.1,0.7024793388429752,-19.090909090909093,-4.2,0,14.2,10.0,0.0,0.0,20
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=107,107,6,2,5,3,11,5,1,123,20,20,1.0,0.6363636363636364,-82.0,-16.4,0,16.4,0.0,0.0,0.05,20
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=109,109,8,2,5,3,11,5,1,123,20,20,1.0,0.768595041322314,34.0,6.8,1,0.0,6.8,0.0,0.6,20
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=110,110,9,2,5,3,11,5,1,123,20,22,1.1,0.6363636363636364,20.909090909090907,4.6,1,8.7,13.3,0.0,0.75,20
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=111,111,10,2,5,3,11,5,1,123,20,20,1.0,0.7024793388429752,54.0,10.8,1,0.0,10.8,0.0,1.0,20
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=112,112,11,2,5,3,11,5,1,123,20,20,1.0,0.6363636363636364,0.0,0.0,0,8.0,8.0,0.0,0.0,20
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=114,114,13,2,5,3,11,5,1,123,20,20,1.0,0.768595041322314,25.0,5.0,1,8.0,13.0,0.0,1.0,20
scaling-gap3-2d5d,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 2 --latent-dims 5 --side-override 11 --barriers-override 5 --gaps-override 1 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 10 --bin-max-candidates 240 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-survival-scaling-gap3/2d5d.csv --run-id scaling-gap3-2d5d","latent-dims=[5] | side=11, barriers=5, gaps=1",2D/5D|side=11|barriers=5|gaps=1,difficulty-bins,easy,2D/5D|side=11|barriers=5|gaps=1|seed=116,116,15,2,5,3,11,5,1,123,20,20,1.0,0.768595041322314,31.0,6.2,1,14.0,20.2,0.0,0.9,20
