epoch_idx,power_delta_abs,power_delta_rel,power_theta_abs,power_theta_rel,power_alpha_abs,power_alpha_rel,power_beta_abs,power_beta_rel,power_gamma_abs,power_gamma_rel,power_total,sef95,rms,lempel_ziv,wpli_alpha,wpli_gamma,betti_0_max,betti_0_mean,betti_0_auc,n_features_0,total_persistence_0,persistence_entropy_0,betti_1_max,betti_1_mean,betti_1_auc,n_features_1,total_persistence_1,persistence_entropy_1,betti_2_max,betti_2_mean,betti_2_auc,n_features_2,total_persistence_2,persistence_entropy_2,topo_complexity,subject,task,acquisition,run,acq_time,source_file,epoch_file,bids_stem
0,2.169911675587419e-11,0.24346648083907405,5.192450528227756e-12,0.05825986703796934,2.874987100246392e-11,0.3225767203474932,2.6430113300984284e-11,0.2965487833428364,8.797781581221693e-13,0.009871207869283511,8.91256844929583e-11,20.0,9.91560136753833e-06,1.6280858266863645,0.0,0.0,64.0,4.875,6.666666666666666,64.0,6.640794672071934,4.0678523268367925,9.0,1.28125,1.9523809523809523,38.0,1.9518351256847382,3.163793644352273,12.0,0.59375,0.9047619047619047,32.0,0.9232204705476761,2.8088721429450847,8.847721383529771,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
1,1.3623313926110802e-11,0.2745625870592342,3.6263130029788174e-12,0.07308426459116646,1.4012152927172473e-11,0.28239920028418536,1.4477649694140795e-11,0.29178076465976444,8.295326966523191e-13,0.016718299561941055,4.9618245777862315e-11,24.0,7.801301762810908e-06,1.7018772979064747,0.0,0.0,64.0,5.484375,7.595238095238095,64.0,7.613488420844078,4.092377688465902,12.0,1.71875,2.619047619047619,47.0,2.527992680668831,3.4537316664211297,10.0,0.59375,0.9047619047619047,23.0,0.8825604319572449,2.528985915280593,9.393270694327798,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
2,1.77940918435223e-11,0.29181788703286354,4.376098305798644e-12,0.0717667286578122,1.9096396021897798e-11,0.31317529357822504,1.6561851567680594e-11,0.27160950793855065,6.439975491820889e-13,0.010561370915092426,6.097670031281664e-11,22.0,7.731782716291491e-06,1.6020128401885922,0.0,0.0,64.0,5.59375,7.761904761904762,64.0,7.769572451710701,4.081469112438507,12.0,1.71875,2.6190476190476186,47.0,2.625790812075138,3.373656850585532,10.0,0.5625,0.8571428571428571,28.0,0.8326525688171387,2.714180463868204,9.546280695346013,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
3,1.4797161198708447e-11,0.2254091280748642,6.834385295338369e-12,0.1041100255422208,2.3612786140756403e-11,0.35969990891703674,1.694574474494003e-11,0.2581390779110756,8.526840662407478e-13,0.012989165240115983,6.56457940505139e-11,22.0,7.680223461647984e-06,1.6394005189401146,0.0,0.0,64.0,5.78125,8.047619047619047,64.0,8.073982451111078,4.043919563428064,15.0,1.65625,2.5238095238095237,42.0,2.46307460218668,3.309334287856444,16.0,0.78125,1.1904761904761905,33.0,1.174952745437622,3.0262413733915414,9.973603008872288,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
4,1.639597733747225e-11,0.2686040515936376,2.7659873227473894e-12,0.04531327326542451,2.0221592311163346e-11,0.3312764779223957,1.7687508960832583e-11,0.28976232838650956,9.250419957712348e-13,0.015154328579763982,6.104143716445943e-11,22.0,7.597528565383982e-06,1.6632597613012836,0.0,0.0,64.0,5.515625,7.642857142857142,64.0,7.577712565660477,4.078993861822635,19.0,1.84375,2.8095238095238098,49.0,2.755027413368225,3.478136546217845,19.0,0.71875,1.0952380952380951,43.0,1.1926574409008026,3.238598729066311,10.664420129553184,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
5,2.2427883830001317e-11,0.3534640851200561,3.884787054175244e-12,0.06122435412981224,1.4653116163685664e-11,0.23093352623963342,1.6844886926522403e-11,0.2654758956112216,8.58364885782669e-13,0.01352785493950611,6.345166248611527e-11,21.5,9.371227861265652e-06,1.477305253826606,0.0,0.0,64.0,5.359375,7.404761904761904,64.0,7.349698394536972,4.070258181715333,15.0,1.65625,2.5238095238095237,47.0,2.613613545894623,3.4129747357207934,12.0,0.609375,0.9285714285714285,35.0,1.016495168209076,2.965490715367807,10.008574165192298,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
6,1.4120587220784628e-10,0.5818257576251975,1.1810112604876397e-11,0.048662478454555985,3.3966130559212605e-11,0.139954304571139,1.7104916290077683e-11,0.07047922812261792,4.832649370382169e-13,0.001991248548871114,2.4269443275285305e-10,14.0,1.562426405143924e-05,1.1644294158533388,0.0,0.0,64.0,4.5,6.095238095238094,64.0,6.0704037100076675,4.039521426377961,12.0,1.28125,1.9523809523809523,44.0,2.0850737914443016,3.18919222699858,12.0,0.609375,0.9285714285714284,27.0,0.8856939226388931,2.8338166723394433,8.993776613421218,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
7,1.1331974683201244e-10,0.5581552983028703,1.4237348408133617e-11,0.07012591953248887,2.9701103916890885e-11,0.146292495175021,1.8725823462311502e-11,0.09223385925903545,4.2152086957428957e-13,0.0020761968966176575,2.0302547906751583e-10,14.5,1.4847526472294703e-05,1.2064905544488016,0.0,0.0,64.0,4.6875,6.3809523809523805,64.0,6.408735029399395,4.031370205418228,16.0,1.671875,2.5476190476190474,47.0,2.4483242630958557,3.3537459927875712,12.0,0.546875,0.8333333333333334,29.0,0.9458247125148773,2.8692781002502477,9.617173068648551,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
8,5.460798634738136e-11,0.4048092571048222,9.736028148927206e-12,0.07217322200908907,2.181959540765625e-11,0.1617487623717273,1.6887118963241945e-11,0.12518429151853427,5.727716587721132e-13,0.004245958973899328,1.3489806714879805e-10,16.0,1.751996751409024e-05,1.1828772836583665,0.0,0.0,64.0,3.4375,4.476190476190475,64.0,4.442723979707807,3.909398305404139,7.0,0.75,1.1428571428571428,30.0,1.1522425711154938,2.6596428479201255,5.0,0.171875,0.2619047619047619,10.0,0.2735361382365227,1.946379071649223,6.031800628921365,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
9,3.504764913216161e-10,0.6515573071381073,2.2635346586869265e-11,0.04208049850266426,3.7452116739669935e-11,0.06962578356540497,1.419789553466458e-11,0.026394759165473482,4.794982664466034e-13,0.0008914167055405884,5.379058564488286e-10,10.5,2.3000926375971176e-05,0.8916469439096648,0.0,0.0,64.0,3.421875,4.4523809523809526,64.0,4.520512924529612,3.983137864071714,5.0,0.953125,1.452380952380952,29.0,1.5043789148330688,2.7441298469187827,9.0,0.453125,0.6904761904761905,16.0,0.7035133987665176,2.4497918296930434,7.401813990211413,sub-1045,sed,rest,2.0,2020-02-27T15:58:23.146723Z,data/raw/ds005620/sub-1045/eeg/sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1045/sub-1045_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1045_task-sed_acq-rest_run-2_eeg
