epoch_idx,power_delta_abs,power_delta_rel,power_theta_abs,power_theta_rel,power_alpha_abs,power_alpha_rel,power_beta_abs,power_beta_rel,power_gamma_abs,power_gamma_rel,power_total,sef95,rms,lempel_ziv,wpli_alpha,wpli_gamma,betti_0_max,betti_0_mean,betti_0_auc,n_features_0,total_persistence_0,persistence_entropy_0,betti_1_max,betti_1_mean,betti_1_auc,n_features_1,total_persistence_1,persistence_entropy_1,betti_2_max,betti_2_mean,betti_2_auc,n_features_2,total_persistence_2,persistence_entropy_2,topo_complexity,subject,task,acquisition,run,acq_time,source_file,epoch_file,bids_stem
0,9.928536320948268e-12,0.275696352323113,2.898826619774837e-12,0.08049483823741822,1.890479129189693e-12,0.05249496836315085,9.508280040474455e-12,0.264026643936888,7.718129952928247e-12,0.21431762003916877,3.601257774100738e-11,46.0,6.573812697752146e-06,2.4697072565336664,0.0,0.0,63.0,9.015625,12.988095238095237,63.0,13.048114359378815,4.032012536699034,8.0,1.25,1.9047619047619047,37.0,1.8956121355295181,3.1672767934968915,12.0,0.40625,0.619047619047619,23.0,0.689710259437561,2.826749757874022,8.579348946337992,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
1,1.1639677494301174e-11,0.32143069168097793,2.2623571852174077e-12,0.0624751875840114,3.361775689389718e-12,0.09283572381158225,7.544932183709664e-12,0.20835394895462025,7.013688944404274e-12,0.19368362136655962,3.621209111497551e-11,45.5,6.112440132710617e-06,2.41257968464011,0.0,0.0,63.0,8.828125,12.702380952380953,63.0,12.689163491129875,3.998256330031726,10.0,1.203125,1.833333333333333,36.0,1.8353062868118286,3.172735681116073,9.0,0.40625,0.6190476190476191,24.0,0.6270380318164825,2.703135717010084,8.338215716754469,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
2,1.1395013858666122e-11,0.31971331033900097,2.109460700691234e-12,0.05918576949646373,3.807297476402002e-12,0.10682248347596979,6.825013439661799e-12,0.1914914423946011,6.715845542519797e-12,0.18842848606906115,3.5641349578419714e-11,46.0,6.0434349506977014e-06,2.2821092911888874,0.0,0.0,63.0,8.65625,12.44047619047619,63.0,12.3968157581985,3.976391465601213,6.0,1.109375,1.6904761904761902,35.0,1.7832861691713333,3.0935425068078635,10.0,0.46875,0.7142857142857142,19.0,0.7391945123672485,2.7104831781464434,8.32650636649289,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
3,9.362896503191724e-12,0.31000740493739043,2.517011978129463e-12,0.08333877783122436,2.7376966853160837e-12,0.09064569330988746,6.979645130423099e-12,0.2310974679180486,5.0664861511258614e-12,0.16775238552795455,3.020217050970982e-11,45.0,5.662039257003926e-06,2.3734136200667986,0.0,0.0,63.0,8.796875,12.654761904761905,63.0,12.635547537356615,4.0034857183053,10.0,1.390625,2.119047619047619,35.0,2.082495152950287,3.154000254426863,8.0,0.375,0.5714285714285714,23.0,0.6198990941047668,2.6421394415235815,8.498533943005498,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
4,7.68262100190784e-12,0.2644390467486615,2.841642145665386e-12,0.0978105180528844,3.137093725410666e-12,0.10798008571590281,6.328613230415463e-12,0.21783352966083327,5.699780744628756e-12,0.19618885096788025,2.905252116269296e-11,45.5,5.584791779256193e-06,2.3477186859836703,0.0,0.0,63.0,8.828125,12.70238095238095,63.0,12.693529918789864,4.011926258392436,11.0,1.4375,2.1904761904761907,31.0,2.1394903883337975,3.059164205188843,8.0,0.375,0.5714285714285714,24.0,0.5792109370231628,2.7328485396334523,8.510714070179255,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
5,1.2860807231620034e-11,0.3483774334095219,2.015534200866624e-12,0.054597399618948834,2.972841797867835e-12,0.08052923714830339,7.218001106659801e-12,0.19552339558459234,5.425947124443915e-12,0.14697969567431532,3.691630398029255e-11,44.5,6.437418505811365e-06,2.034140704017729,0.0,0.0,63.0,7.375,10.488095238095237,63.0,10.517089575529099,3.9854669612809683,10.0,1.328125,2.0238095238095237,33.0,1.9699474424123764,3.1026595380820274,15.0,0.578125,0.8809523809523809,26.0,0.869584858417511,2.867708930646121,8.809900769558036,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
6,1.245752848278546e-11,0.36952544165032464,2.051955563095479e-12,0.06086679125377809,3.5481215619923996e-12,0.10524729596533253,6.1816449927872544e-12,0.18336503097237727,4.648076098908395e-12,0.1378750508695925,3.371223487928011e-11,44.0,6.3860215959721245e-06,2.0074479084168098,0.0,0.0,63.0,7.421875,10.559523809523808,63.0,10.499799698591232,4.006393199959949,12.0,1.296875,1.976190476190476,39.0,1.947245791554451,3.221828190296934,12.0,0.515625,0.7857142857142856,28.0,0.8078277707099915,2.842978206135703,8.81987995869708,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
7,9.743623942235685e-12,0.3411841548712654,2.133548271703062e-12,0.07470863697876184,3.929038197068317e-12,0.1375797736725961,4.651069396238378e-12,0.1628625232881359,4.076132062924111e-12,0.14273043389986684,2.855825454705574e-11,44.0,5.6456183301634155e-06,2.009194166072944,0.0,0.0,63.0,8.578125,12.32142857142857,63.0,12.389131613075733,3.9460143669437953,10.0,1.34375,2.047619047619048,39.0,2.0099066644906998,3.2140007525365135,4.0,0.265625,0.40476190476190477,12.0,0.4363923668861389,2.00654992798416,7.6668497118975125,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
8,1.2880152544363421e-11,0.4127000328450392,2.052350869719133e-12,0.06576049999604199,2.966617790427578e-12,0.09505502790678703,4.367595463462881e-12,0.13994452200908006,3.398416040676218e-12,0.10889051249800245,3.120947787566488e-11,44.0,5.725003120460315e-06,1.9727722206735592,0.0,0.0,63.0,8.609375,12.369047619047619,63.0,12.347551740705967,3.935059566306397,10.0,1.28125,1.952380952380952,39.0,1.8792738765478134,3.0403265468969174,5.0,0.296875,0.4523809523809524,10.0,0.4405241012573242,1.6801348684832362,7.040259393185291,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
9,1.1753897365515453e-11,0.38945941992510213,1.902879599184435e-12,0.06305094913113367,5.034864133718552e-12,0.16682766608739544,4.178771225445724e-12,0.1384614623432548,3.0584264513720357e-12,0.10133940722756225,3.0180030997262495e-11,44.0,5.871168923476944e-06,1.9323588292030083,0.0,0.0,63.0,7.96875,11.392857142857142,63.0,11.438286611810327,3.9692044455957145,9.0,1.34375,2.0476190476190474,35.0,2.0681957602500916,3.1125334813586845,5.0,0.34375,0.5238095238095237,17.0,0.5377815663814545,2.131736267655266,7.8502470756454965,sub-1060,awake,EC,,2012-01-01T02:37:08.672391Z,data/raw/ds005620/sub-1060/eeg/sub-1060_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1060/sub-1060_task-awake_acq-EC_eeg_epochs.npy,sub-1060_task-awake_acq-EC_eeg
