epoch_idx,power_delta_abs,power_delta_rel,power_theta_abs,power_theta_rel,power_alpha_abs,power_alpha_rel,power_beta_abs,power_beta_rel,power_gamma_abs,power_gamma_rel,power_total,sef95,rms,lempel_ziv,wpli_alpha,wpli_gamma,betti_0_max,betti_0_mean,betti_0_auc,n_features_0,total_persistence_0,persistence_entropy_0,betti_1_max,betti_1_mean,betti_1_auc,n_features_1,total_persistence_1,persistence_entropy_1,betti_2_max,betti_2_mean,betti_2_auc,n_features_2,total_persistence_2,persistence_entropy_2,topo_complexity,subject,task,acquisition,run,acq_time,source_file,epoch_file,bids_stem
0,1.420989680064446e-10,0.5291080699683,1.8693474163478384e-11,0.06960548816365611,3.3350378686470823e-11,0.12418073647593421,2.0344106674932317e-11,0.07575164808737005,6.882923878764107e-13,0.002562869118842886,2.685632219046632e-10,17.5,1.8336722860112786e-05,1.2657873353183662,0.0015584212861386574,0.0,63.0,5.140625,7.083333333333334,63.0,7.071697937790304,3.8911327193210217,8.0,1.15625,1.7619047619047619,27.0,1.8061948902904987,2.6814002827312593,7.0,0.375,0.5714285714285714,13.0,0.5419325828552246,2.2320082301042454,7.261535985981228,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
1,4.261330981207433e-09,0.5809238629919606,4.893348969722025e-11,0.006670834063335748,5.657136167006256e-11,0.0077120632264936805,1.6621193280525122e-11,0.0022658760492062927,1.5647800574207445e-12,0.00021331787643307485,7.335438002598295e-09,2.0,0.0001259531854884699,0.9542050763880076,0.029029626518147684,0.0,63.0,6.25,8.773809523809524,63.0,8.81873695005197,3.9469862224495853,10.0,1.59375,2.4285714285714284,33.0,2.4139297157526016,3.020611560041452,15.0,0.734375,1.1190476190476188,27.0,0.9986570179462433,2.9234435189881487,9.356641812728446,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
2,9.45956454819034e-09,0.6086418197270665,1.6737065911256968e-10,0.01076886594644369,7.871431352022426e-11,0.0050645907404565805,2.960851083876946e-11,0.0019050536443313045,4.64174407903108e-12,0.00029865640734057675,1.554208771331601e-08,2.0,0.00016468821559101343,0.7860654106401599,0.03722371418434497,0.0,63.0,5.203125,7.178571428571429,63.0,7.1275495615263935,3.974555786813995,7.0,1.265625,1.9285714285714284,26.0,1.8769809752702713,2.756738709074888,7.0,0.375,0.5714285714285714,20.0,0.49408048391342163,2.502483883200308,7.630284051458888,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
3,5.890016394891432e-09,0.624270201262814,1.44893784566823e-10,0.015356981371344497,8.179314273916384e-11,0.008669079720046697,5.026448783246144e-11,0.005327425228010991,7.880065761835368e-12,0.0008351912642164809,9.43504332415151e-09,2.5,0.0001231030619237572,0.8414467248775815,0.018532717018094804,0.0,63.0,3.953125,5.273809523809523,63.0,5.232118628511671,3.9715271364575018,7.0,0.90625,1.380952380952381,24.0,1.3164764791727066,2.681933422526402,1.0,0.09375,0.14285714285714285,4.0,0.1454322636127472,0.8699729917141379,5.013815157025994,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
4,3.336087104221656e-10,0.48692956567341056,1.337350006974105e-11,0.019519731880656765,4.0426152295573487e-11,0.05900532019748745,1.9851185684112585e-11,0.028974450969925666,7.382716990290673e-13,0.0010775687400436343,6.851272420905345e-10,12.0,6.150280387373641e-05,1.3129362920340089,0.00013560803228959044,0.0,63.0,4.4375,6.011904761904761,63.0,6.055663327919319,3.9374029848522873,5.0,0.78125,1.1904761904761902,17.0,1.2640525661408901,2.458122187280231,3.0,0.125,0.19047619047619047,7.0,0.19781452417373657,1.6268709250877456,5.546860202682603,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
5,5.0259440257964316e-11,0.36196373969443735,7.272815778187888e-12,0.05237813202196261,3.315240829018936e-11,0.23876051191581354,2.3737172969103773e-11,0.17095287678435675,8.198380293804476e-13,0.005904396020630976,1.3885214110228926e-10,49.5,1.3906850654166192e-05,1.7048464031465735,0.0,0.0,63.0,6.359375,8.94047619047619,63.0,8.993303153663874,3.960226044866274,7.0,1.234375,1.880952380952381,27.0,1.8782859593629837,2.8371985789469742,6.0,0.3125,0.47619047619047616,18.0,0.5138331204652786,2.481856985666994,7.711174644442231,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
6,3.6204392339559855e-11,0.28644881555817386,5.31248265774262e-12,0.04203231339201129,3.430233753852252e-11,0.2713997756578813,2.759965114820701e-11,0.21836818326002055,7.948134603778236e-13,0.006288556708246329,1.2639044175837144e-10,50.0,1.1194225407962222e-05,1.9193866294717201,0.0,0.0,63.0,6.4375,9.05952380952381,63.0,8.948672802187502,3.980513368401805,11.0,1.265625,1.9285714285714284,29.0,1.9384594112634659,2.7614699334273993,10.0,0.53125,0.8095238095238095,21.0,0.8223821520805359,2.670255150839728,8.192566647611129,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
7,2.8491185767784885e-11,0.25279031181312017,7.612260368906293e-12,0.06754038557546806,2.8424354103587528e-11,0.25219734255697424,3.319909222929324e-11,0.29456158634313173,1.1162610399620503e-12,0.009904114860530189,1.1270679466880642e-10,50.0,1.1246901522099506e-05,1.9143973218827635,0.0,0.0,63.0,5.84375,8.154761904761905,63.0,8.163307949434966,3.997733389148839,9.0,1.390625,2.119047619047619,32.0,2.204096034169197,2.790454166343712,10.0,0.515625,0.7857142857142856,25.0,0.7812887728214264,2.805211353830938,8.581050327165274,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
8,6.035543618541891e-11,0.40283378857578767,8.089068369972684e-12,0.05398933821825135,2.8776707485527692e-11,0.19206604792846946,3.253974271821233e-11,0.21718189225224455,9.555284916110343e-13,0.006377539235824,1.4982714433862308e-10,49.5,1.2199703633086756e-05,1.781182809257614,0.0,0.0,63.0,5.546875,7.702380952380952,63.0,7.683635792229325,3.9330341536979523,7.0,1.1875,1.8095238095238093,30.0,1.9139579460024834,2.7666842374033385,8.0,0.34375,0.5238095238095237,17.0,0.48211464285850525,2.45429148553285,7.617048311797177,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
9,5.988827707504435e-11,0.4148879688821028,4.303146013701905e-12,0.029810901175045677,2.3653089085352822e-11,0.16386148621561758,2.7153419480166397e-11,0.18811072227396544,7.478148104489869e-13,0.005180636060348795,1.4434806879652514e-10,49.5,1.1770001037803013e-05,1.7075905223204997,0.0,0.0,63.0,5.453125,7.559523809523808,63.0,7.471876551862806,3.952593403885811,6.0,1.390625,2.1190476190476186,32.0,2.0886073410511017,2.9464911262524422,7.0,0.359375,0.5476190476190476,12.0,0.5037192106246948,2.159695619814549,7.698513297742788,sub-1061,sed2,rest,1.0,2012-04-06T09:25:48.421139Z,data/raw/ds005620/sub-1061/eeg/sub-1061_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1061/sub-1061_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1061_task-sed2_acq-rest_run-1_eeg
